module,name,language,license,noncommercial,tier,kvn_ok,attribution,source,status
afri,Afrikaans 1953,Afrikaans,Public Domain,false,A,true,false,bss,raw_added
albanian,Albanian,Albanian,Public Domain,false,A,true,false,bss,raw_added
svd,Smith Van Dyke,Arabic,Public Domain,false,A,true,false,bss,raw_added
bn_irv,ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী ,Bengali,CC BY-SA,false,A,true,true,bss,raw_added
my_judson,မြန်မာကျမ်းစာ Judson 1840,Burmese,Public Domain,false,A,true,false,bss,raw_added
chinese_union_simp,Chinese Union (Simplified),Chinese,Public Domain,false,A,true,false,bss,raw_added
chinese_union_simp_s,Chinese Union Version 和合本 - Simplified with Strong's numbers 简体中文版连史特朗经文滙篇,Chinese,Public Domain,false,A,true,false,bss,raw_added
chinese_union_trad,Chinese Union (Traditional),Chinese,Public Domain,false,A,true,false,bss,raw_added
chinese_union_trad_s,Chinese Union Version 和合本 - Traditional with Strong's numbers 繁體中文版連史特朗經文滙篇,Chinese,Public Domain,false,A,true,false,bss,raw_added
ckjv_sds,中文英皇钦定本上帝版 Chinese KJV (Simplified) Shang-Di 简体中文,Chinese,CC BY-SA,false,A,true,true,bss,raw_added
ckjv_sdt,中文英皇欽定本上帝版 Chinese KJV (Traditional) Shang-Di 繁體中文,Chinese,CC BY-SA,false,A,true,true,bss,raw_added
bkr,Bible Kralicka,Czech,Public Domain,false,A,true,false,bss,raw_added
stve,Staten Vertaling,Dutch,Public Domain,false,A,true,false,bss,raw_added
akjv,American KJV,English,Public Domain,false,A,true,false,openbible,raw_added
asv,American Standard Version,English,Public Domain,false,A,true,false,openbible,raw_added
asvs,American Standard Version w Strong's,English,Public Domain,false,A,true,false,bss,raw_added
bishops,Bishops Bible,English,Public Domain,false,A,true,false,bss,raw_added
bsb,Berean Standard Bible,English,Public Domain,false,A,true,false,openbible,raw_added
coverdale,Coverdale Bible,English,Public Domain,false,A,true,false,bss,raw_added
cpdv,Catholic Public Domain Version,English,Public Domain,false,A,true,false,openbible,raw_added
dbt,Darby Translation,English,Public Domain,false,A,true,false,openbible,raw_added
drb,Douay-Rheims,English,Public Domain,false,A,true,false,openbible,raw_added
erv,English Revised Version,English,Public Domain,false,A,true,false,openbible,raw_added
geneva,Geneva Bible,English,Public Domain,false,A,true,false,bss,raw_added
jps,JPS Tanakh 1917,English,Public Domain,false,A,true,false,openbible,raw_added
kjv,Authorized King James Version,English,Public Domain,false,A,true,false,openbible,raw_added
kjv_strongs,Authorized King James Version w Strong's,English,Public Domain,false,A,true,false,bss,raw_added
slt,Smiths Literal Translation,English,Public Domain,false,A,true,false,openbible,raw_added
tyndale,Tyndale Bible,English,Public Domain,false,A,true,false,bss,raw_added
wbt,Webster Bible,English,Public Domain,false,A,true,false,openbible,raw_added
web,World English Bible,English,Public Domain,false,A,true,false,openbible,raw_added
ylt,Youngs Literal Translation,English,Public Domain,false,A,true,false,openbible,raw_added
finn,Finnish 1776 (Finnish),Finnish,Public Domain,false,A,true,false,bss,raw_added
epee,La Bible de l'Épée,French,Public Domain,false,A,true,false,bss,raw_added
martin,Martin,French,Public Domain,false,A,true,false,bss,raw_added
